127.0.0.1 - - [04/May/2022:14:57:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/May/2022:14:57:57 +0900] "GET /SerialWeb/ HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [04/May/2022:14:58:00 +0900] "GET /SerialWeb/ HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [04/May/2022:14:58:03 +0900] "GET /SerialWeb/ HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [04/May/2022:14:58:49 +0900] "GET /Serial HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [04/May/2022:14:59:01 +0900] "GET /SerialWeb/serial HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [04/May/2022:14:59:18 +0900] "GET /serial/index.jsp HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [04/May/2022:15:02:32 +0900] "GET /serial/index.jsp HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [04/May/2022:15:02:37 +0900] "GET /SerialWeb/serial HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [04/May/2022:15:02:43 +0900] "GET /SerialWeb/serial/index.jsp HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [04/May/2022:15:04:35 +0900] "GET /SerialWeb/serial HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [04/May/2022:15:04:41 +0900] "GET /serial HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [04/May/2022:15:04:59 +0900] "GET /SerialWeb/serial HTTP/1.1" 200 744
